,Years,Month Code,County,County Code,TotalDeaths,latitude,longitude,Population
149,2007-2016,2007/08,"Jefferson County, KY",21111,110,38.1787175,-85.664528,743554
124,2007-2016,2007/07,"Jefferson Parish, LA",22051,101,29.8502657,-90.1293894,439277
184,2007-2016,2007/10,"Contra Costa County, CA",6013,96,37.9034806,-121.9175345,1048750
3,2007-2016,2007/01,"Sacramento County, CA",6067,95,38.4732259,-121.2980707,1442667
156,2007-2016,2007/08,"Hamilton County, OH",39061,87,39.2085354,-84.5501874,817448
304,2007-2016,2008/04,"Oklahoma County, OK",40109,66,35.5533328,-97.4367741,3846667
911,2007-2016,2011/06,"San Joaquin County, CA",6077,66,37.9372901,-121.2773719,698448
75,2007-2016,2007/05,"San Diego County, CA",6073,63,32.9637838,-116.7706277,3133000
140,2007-2016,2007/08,"Fresno County, CA",6019,48,36.6713502,-119.8155355,826842
494,2007-2016,2009/03,"Kern County, CA",6029,41,35.3145701,-118.7538222,842795
591,2007-2016,2009/08,"Erie County, NY",36029,37,42.7164263,-78.7620327,916967
238,2007-2016,2007/12,"Mecklenburg County, NC",37119,36,35.2356385,-80.8139485,963826
575,2007-2016,2009/07,"Davidson County, TN",47037,34,36.189724,-86.7857862,672732
950,2007-2016,2011/08,"Genesee County, MI",26049,33,43.0220032,-83.7274305,416914
1202,2007-2016,2012/12,"Fairfield County, CT",9001,28,41.2943069,-73.37486,935238
1572,2007-2016,2014/12,"Hillsborough County, FL",12057,24,27.9184543,-82.3488057,1333500
788,2007-2016,2010/09,"Suffolk County, MA",25025,24,42.3544455,-70.9788771,730977
1258,2007-2016,2013/03,"King County, WA",53033,23,47.4873376,-121.8622122,2082500
262,2007-2016,2008/02,"Orange County, CA",6059,23,33.7500378,-117.8704931,3067000
437,2007-2016,2008/11,"Pima County, AZ",4019,22,32.1112624,-111.6546163,995935
1957,2007-2016,2016/06,"Montgomery County, OH",39113,21,39.6837328,-84.2854817,535153
1225,2007-2016,2013/01,"Tulsa County, OK",40143,20,36.1012145,-95.9250506,513289
395,2007-2016,2008/09,"San Francisco County, CA",6075,14,37.781555,-122.39399,808001
1709,2007-2016,2015/07,"Baltimore County, MD",24005,12,39.4445243,-76.6483482,831128
2047,2007-2016,2016/10,"Mobile County, AL",1097,12,30.6488242,-88.194642,413955
2072,2007-2016,2016/11,"Pulaski County, AR",5119,12,34.7550166,-92.3003472,393250
517,2007-2016,2009/04,"Broome County, NY",36007,11,42.1455623,-75.8404114,1940630
1121,2007-2016,2012/07,"Camden County, NJ",34007,11,39.8014709,-74.968553,512993
1598,2007-2016,2015/01,"Douglas County, NE",31055,11,41.2954112,-96.1415672,510199
928,2007-2016,2011/07,"El Paso County, CO",8041,11,38.8287435,-104.5253456,636946
1944,2007-2016,2016/06,"Osceola County, FL",12097,11,28.0443842,-81.1437541,391495
956,2007-2016,2011/08,"Summit County, OH",39153,11,41.1457902,-81.5333603,541281
2029,2007-2016,2016/09,"Allen County, IN",18003,10,41.0975573,-85.0562084,355329
1927,2007-2016,2016/05,"Bernalillo County, NM",35001,10,35.0349239,-106.6870693,662564
1778,2007-2016,2015/10,"Monterey County, CA",6053,10,36.2231079,-121.3877428,433898
71,2007-2016,2007/04,"Montgomery County, VA",51121,10,37.1810438,-80.3918782,89284
1591,2007-2016,2015/01,"New Castle County, DE",10003,10,39.6159851,-75.662956,556779
673,2007-2016,2010/02,"Queens County, NY",36081,10,40.6524927,-73.79142142,2236000
548,2007-2016,2009/06,"Wyandotte County, KS",20209,10,39.1090458,-94.767624,155085
